iter	Passed	Remaining
406	6298	9176
407	6313	9161
408	6329	9145
409	6345	9131
410	6352	9104
411	6367	9087
412	6386	9076
413	6403	9064
414	6419	9048
415	6433	9031
416	6452	9021
417	6468	9005
418	6483	8990
419	6498	8973
420	6515	8961
421	6529	8942
422	6545	8928
423	6561	8913
424	6576	8897
425	6592	8883
426	6613	8874
427	6632	8864
428	6656	8859
429	6670	8842
430	6686	8827
431	6701	8811
432	6718	8797
433	6736	8785
434	6752	8769
435	6766	8752
436	6782	8738
437	6798	8722
438	6813	8706
439	6830	8693
440	6846	8678
441	6861	8661
442	6875	8644
443	6903	8644
444	6925	8637
445	6950	8633
446	6970	8623
447	7000	8625
448	7022	8617
449	7063	8632
450	7084	8624
451	7117	8629
452	7147	8630
453	7173	8626
454	7196	8620
455	7219	8613
456	7243	8606
457	7265	8598
458	7296	8599
459	7318	8590
460	7346	8589
461	7368	8580
462	7388	8569
463	7406	8556
464	7421	8539
465	7438	8523
466	7452	8506
467	7472	8494
468	7493	8484
469	7509	8467
470	7524	8451
471	7540	8435
472	7556	8419
473	7573	8404
474	7589	8388
475	7604	8371
476	7621	8356
477	7637	8340
478	7653	8324
479	7668	8307
480	7687	8294
481	7704	8279
482	7721	8265
483	7737	8248
484	7752	8232
485	7769	8216
486	7784	8200
487	7802	8186
488	7818	8170
489	7832	8152
490	7843	8131
491	7857	8112
492	7870	8093
493	7888	8079
494	7916	8076
495	7931	8059
496	7956	8052
497	7974	8038
498	7998	8030
499	8022	8022
500	8053	8020
501	8080	8016
502	8110	8014
503	8130	8001
504	8153	7991
505	8176	7982
506	8202	7976
507	8224	7965
508	8238	7947
509	8250	7927
510	8264	7908
511	8277	7889
512	8293	7873
513	8316	7863
514	8330	7845
515	8343	7826
516	8356	7806
517	8367	7786
518	8381	7767
519	8394	7748
520	8407	7730
521	8420	7710
522	8434	7692
523	8448	7674
524	8464	7657
525	8479	7641
526	8493	7622
527	8506	7604
528	8518	7584
529	8532	7566
530	8545	7547
531	8558	7528
532	8571	7510
533	8584	7491
534	8595	7470
535	8609	7452
536	8622	7434
537	8636	7416
538	8649	7397
539	8661	7378
540	8674	7359
541	8687	7340
542	8700	7322
543	8716	7306
544	8727	7286
545	8744	7271
546	8758	7253
547	8772	7236
548	8785	7217
549	8799	7199
550	8811	7180
551	8823	7161
552	8837	7143
553	8853	7127
554	8866	7108
555	8878	7089
556	8890	7070
557	8903	7052
558	8917	7034
559	8930	7016
560	8942	6997
561	8956	6979
562	8969	6961
563	8982	6943
564	8995	6925
565	9008	6907
566	9019	6888
567	9033	6870
568	9047	6853
569	9060	6834
570	9073	6816
571	9084	6797
572	9098	6779
573	9113	6763
574	9129	6747
575	9143	6730
576	9155	6711
577	9170	6695
578	9182	6676
579	9195	6658
580	9208	6640
581	9220	6622
582	9232	6603
583	9246	6586
584	9262	6570
585	9282	6557
586	9296	6540
587	9309	6522
588	9322	6504
589	9334	6486
590	9346	6467
591	9359	6450
592	9373	6433
593	9386	6415
594	9399	6397
595	9410	6378
596	9423	6361
597	9438	6344
598	9451	6327
599	9464	6309
600	9475	6290
601	9490	6274
602	9503	6256
603	9517	6239
604	9533	6224
605	9546	6206
606	9558	6188
607	9571	6171
608	9585	6153
609	9599	6137
610	9611	6119
611	9623	6100
612	9637	6084
613	9650	6066
614	9664	6050
615	9676	6032
616	9690	6015
617	9703	5997
618	9716	5980
619	9729	5963
620	9742	5945
621	9753	5927
622	9767	5910
623	9780	5893
624	9797	5878
625	9811	5861
626	9823	5844
627	9835	5826
628	9849	5809
629	9861	5791
630	9873	5773
631	9885	5755
632	9900	5740
633	9913	5722
634	9926	5705
635	9944	5691
636	9957	5674
637	9968	5656
638	9981	5638
639	9994	5622
640	10008	5605
641	10022	5588
642	10033	5570
643	10046	5553
644	10059	5536
645	10072	5519
646	10084	5502
647	10096	5484
648	10111	5468
649	10125	5452
650	10139	5435
651	10151	5418
652	10163	5400
653	10176	5383
654	10189	5367
655	10203	5350
656	10216	5333
657	10229	5316
658	10242	5299
659	10255	5282
660	10268	5266
661	10283	5250
662	10299	5235
663	10314	5219
664	10338	5207
665	10350	5190
666	10362	5173
667	10374	5156
668	10387	5139
669	10400	5122
670	10414	5106
671	10427	5089
672	10440	5073
673	10453	5056
674	10466	5039
675	10479	5022
676	10492	5006
677	10504	4988
678	10517	4972
679	10531	4956
680	10543	4939
681	10556	4922
682	10571	4906
683	10585	4890
684	10598	4873
685	10611	4857
686	10624	4840
