iter	Logloss
0	0.6806536124
1	0.6682513192
2	0.6577699772
3	0.6465470512
4	0.63605335
5	0.6254130398
6	0.6143033172
7	0.6055653659
8	0.5946480199
9	0.584487298
10	0.5750980531
11	0.5653226659
12	0.557287405
13	0.5480560604
14	0.5382103618
15	0.529998202
16	0.5209775292
17	0.5120153356
18	0.5041446593
19	0.4953709624
20	0.4872331211
21	0.4789540875
22	0.4715686037
23	0.4649093058
24	0.4582181663
25	0.450508629
26	0.4443425011
27	0.4375899845
28	0.4306290594
29	0.4256079321
30	0.4194437208
31	0.4130184594
32	0.4060354099
33	0.3999207691
34	0.3948650188
35	0.3884432038
36	0.3823906646
37	0.3761725513
38	0.3707679571
39	0.3645197121
40	0.359716481
41	0.3546819085
42	0.350453142
43	0.3456673086
44	0.3415869457
45	0.3369499969
46	0.3322477533
47	0.3275609473
48	0.324114078
49	0.3189238087
50	0.3150264004
51	0.3109011907
52	0.3061365107
53	0.3015707616
54	0.2978072191
55	0.2943594655
56	0.2905275563
57	0.2860805486
58	0.2827109075
59	0.2792410397
60	0.2762775014
61	0.2728089081
62	0.2694108758
63	0.2656483311
64	0.2626295476
65	0.2593274418
66	0.2567018419
67	0.253457637
68	0.2508855769
69	0.2480446684
70	0.2450053134
71	0.2419996243
72	0.2387803531
73	0.2355596319
74	0.2323652407
75	0.229554363
76	0.2268148211
77	0.2241559785
78	0.2222154604
79	0.2196472891
80	0.2165393887
81	0.2143796086
82	0.2118832475
83	0.2096297031
84	0.2068653234
85	0.2050435851
86	0.2030406582
87	0.2008291526
88	0.1986522726
89	0.1962250783
90	0.1947642816
91	0.1925287811
92	0.1905143571
93	0.1887728878
94	0.1869221774
95	0.184804907
96	0.1827914166
97	0.1806435692
98	0.1784861809
99	0.176727079
100	0.1755244241
101	0.1739804181
102	0.1723171871
103	0.1710075682
104	0.1697408507
105	0.1680615391
106	0.1663679682
107	0.1648959715
108	0.1632984306
109	0.1614481502
110	0.1600815951
111	0.1585887962
112	0.1571543943
113	0.1560138162
114	0.1549675208
115	0.1534892855
116	0.1525674858
117	0.1507749939
118	0.149656472
119	0.1483472861
120	0.146953156
121	0.1459920118
122	0.1447179905
123	0.1428110869
124	0.1415140029
125	0.1401090935
126	0.1387953885
127	0.1378008746
128	0.1366666179
129	0.1352106616
130	0.1341853048
131	0.1329901701
132	0.1319518781
133	0.1309388505
134	0.1298683789
